SKELID	TILUDRONATE
LOPERAMIDE	LOPERAMIDE
PENTREXL	AMPICILLIN
RYEGONOVIN	METHYLERGONOVINE
MITAMYCIN	MITOMYCIN
ALCOOL ETILICO	ETHANOL
AMOTRIL	CLOFIBRATE
HERPIDU	IDOXURIDINE
BENFOFEN	DICLOFENAC
NORCOLUT	NORETHINDRONE
DANIVAC	DANTRON
CALDEROL	CALCIDIOL
GLIBENCLAMID-COPHAR	GLYBURIDE
TEMPRA	ACETAMINOPHEN
NIDAGEL	METRONIDAZOLE
CAPAZINE	PROCHLORPERAZINE
LISTRAN	NABUMETONE
METHYLERGOBASIN	METHYLERGONOVINE
CARGLUMIC ACID	CARGLUMIC ACID
MEPRODIOL	MEPROBAMATE
RANITIDINA TAMARANG	RANITIDINE
TUSSOL	METHADONE
PUROSTROPHAN	OUABAIN
SYNTHOESTRIN	DIETHYLSTILBESTROL
DECAPS	ERGOCALCIFEROL
PROTIVAR	OXANDROLONE
PHENYLETTEN	PHENOBARBITAL
ALDOMYCIN	NITROFURAZONE
DEXTROPROXIFENO	PROPOXYPHENE
IDU	IDOXURIDINE
IN-SONE	PREDNISONE
WIGRETTES	ERGOTAMINE
PHENYTOIN	PHENYTOIN
BENZKURIN	GALLAMINE TRIETHIODIDE
SOLPAFLEX	IBUPROFEN
PYRIDOXAL-P	PYRIDOXAL PHOSPHATE
DURRAX	HYDROXYZINE
CISMAPLAT	CISPLATIN
DONEPEZIL	DONEPEZIL
FLUOR-OP	FLUOROMETHOLONE
FLORONE E	DIFLORASONE
LERGIGAN	PROMETHAZINE
)-ATROPINE	HYOSCYAMINE
INIZID	ISONIAZID
FURALCYN	NITROFURAZONE
PSYQUIL	TRIFLUPROMAZINE
THIOPERAZINE	THIOPROPERAZINE
FRANYL	FUROSEMIDE
IPAMIX	INDAPAMIDE
MAZANOR	MAZINDOL
SOLFARIN	WARFARIN
LYCOREMINE	GALANTAMINE
5-IODODEOXYURIDINE	IDOXURIDINE
GROWTH HORMONE	PEGVISOMANT
GW-786034	PAZOPANIB
DUR-843	BUPIVACAINE
CRESTOR	ROSUVASTATIN
FRUSTAN	DIAZEPAM
AMPI-CO	AMPICILLIN
HISERPIA	RESERPINE
HALOPROGINE [INN-FRENCH]	HALOPROGIN
TRANIMUL	DIAZEPAM
VITAMIN A CRYST	VITAMIN A
RITMENAL	PHENYTOIN
NITROPRESS	NITROPRUSSIDE
FURALL	FURAZOLIDONE
TENOLOL	ATENOLOL
GLUBATE	GLYBURIDE
CLOROPIRIL	CHLORPHENIRAMINE
CONVENTIONAL PACLITAXEL	PACLITAXEL
NEOCAINE	PROCAINE
SOLARAZE	DICLOFENAC
GERIMAL	ERGOLOID MESYLATE
DARLETON	SULPIRIDE
SUBARI	MECLIZINE
PHENYL-MOBUZON	PHENYLBUTAZONE
AYGESTIN	NORETHINDRONE
L-ADRENALINE	EPINEPHRINE
NICERGOLINE [USAN:BAN:INN:JAN]	NICERGOLINE
MEPIOSINE	MEPROBAMATE
CARBANMIDE	PHENACEMIDE
FOLSAURE	FOLIC ACID
FURACIN-HC	NITROFURAZONE
DRIXORAL NASAL DECONGESTANT	PSEUDOEPHEDRINE
TRICURAN	GALLAMINE TRIETHIODIDE
CRISPIN	TRAMADOL
CLENBUTEROLUM [INN-LATIN]	CLENBUTEROL
ALLERGAN 201	IDOXURIDINE
ATENOL COPHAR	ATENOLOL
CYCLORIN	CYCLOSERINE
PERCOMON	AMPHETAMINE
WATER, 80%	ETHANOL
CHINGAMIN	CHLOROQUINE
SULFAMETHOXIZOLE	SULFAMETHOXAZOLE
PROTIUM	PANTOPRAZOLE
MIGUARD	FROVATRIPTAN
UZONE	PHENYLBUTAZONE
ANDRAZIDE	ISONIAZID
DIPIMIDE	PYRAZINAMIDE
TENORMIN	ATENOLOL
CONPIN RETARDKAPS	ISOSORBIDE MONONITRATE
MESENTOL	ETHOSUXIMIDE
GRANULOCYTE-MACROPHAGE COLONY-STIMULATING FACTOR PRECURSOR	SARGRAMOSTIM
THIOTHIXENE	THIOTHIXENE
RESEALOID	RESCINNAMINE
PARLODEL	BROMOCRIPTINE
MAGADON	NITRAZEPAM
CAPROMAB	CAPROMAB
ALEVIATIN	PHENYTOIN
SINTHECILLIN	CEPHALEXIN
HIPSAL	NITRAZEPAM
GLIBET	GLYBURIDE
ORABASE HCA	HYDROCORTISONE
GLIBEN	GLYBURIDE
DAYPRO ALTA	OXAPROZIN
DALTEPARIN SODN	DALTEPARIN
HYDROCHLOROTHIAZIDE	HYDROCHLOROTHIAZIDE
3-ISOBUTYRYL-2-ISOPROPYLPYRAZOLO[1,5-A]PYRIDINE	IBUDILAST
LEVETIRACETAMUM [INN-LATIN]	LEVETIRACETAM
FORMAL	MALATHION
DINEVAL	PHENINDIONE
GASTRIDIN	FAMOTIDINE
LEVOMETHORPHANE [INN-FRENCH]	DEXTROMETHORPHAN
AETHANOL	ETHANOL
NU-TIMOLOL	TIMOLOL
FENACETAMIDE	PHENACEMIDE
PILOPTIC-1	PILOCARPINE
GPB	GLYCEROL PHENYLBUTYRATE
CILIFT	CITALOPRAM
CANQUIL-400	MEPROBAMATE
MEDOMINE	HEPTABARBITAL
GLISEMA	CHLORPROPAMIDE
ADRENASOL	EPINEPHRINE
SABARI	MECLIZINE
CHRUSOMYKINE	LYMECYCLINE
FRUSEMIDE	FUROSEMIDE
CRESON	GUAIFENESIN
DRESENT	SULPIRIDE
AMICACIN	AMIKACIN
PROXAGESIC	PROPOXYPHENE
UNII-N804LDH51K	FLEROXACIN
RALOXIFENO [SPANISH]	RALOXIFENE
KOGENATE	ANTIHEMOPHILIC FACTOR
ICLUSIG	PONATINIB
NARCAN	NALOXONE
MAGESTIN	MEGESTROL
CYCLAMIDE	ACETOHEXAMIDE
DEXTROSTAT	DEXTROAMPHETAMINE
UTIMOX	AMOXICILLIN
ALOPERIDIN	HALOPERIDOL
THERAZONE	PHENYLBUTAZONE
STRZ	STREPTOZOCIN
LCR	VINCRISTINE
-(N-HEXADECANOYL-L-GAMMA-GLUTAMYL)-[34-L-ARGININE]GLUCAGON-LIKE PEPTIDE 1-(7-37)-PEPTIDE	LIRAGLUTIDE
UNICOZYDE	ISONIAZID
BMS-354825	DASATINIB
LCM	LINCOMYCIN
NIKOZID	ISONIAZID
ROCEPHIN KIT	LIDOCAINE
ISOPROTHANE	CARISOPRODOL
CARBILAZINE	DIETHYLCARBAMAZINE
AMARIN	LANSOPRAZOLE
PIRIBENZIL	TRIPELENNAMINE
FLANARIL	OXYPHENBUTAZONE
LANTRON	AMITRIPTYLINE
CHEMICETINA	CHLORAMPHENICOL
FAMOTIN	FAMOTIDINE
OSYROL	SPIRONOLACTONE
TRIMETHIOPRIM	TRIMETHOPRIM
GADOBUTROL	GADOBUTROL
CHLORNIDINUM	CLONIDINE
DULCONTIN	MORPHINE
MEPIVACAINA [INN-SPANISH]	MEPIVACAINE
DANTOINE	PHENYTOIN
DOXEF	CEFPODOXIME
3'-DEOXY-2'-THYMIDINENE	STAVUDINE
ESTREPTOCIDA	SULFANILAMIDE
LANSOPRAZOLE [USAN:BAN:INN]	LANSOPRAZOLE
PYREMETHAMINE	PYRIMETHAMINE
BRISTACICLINA	TETRACYCLINE
ALRHEUMUN	KETOPROFEN
QUIETOPLEX	THALIDOMIDE
SULFONYLPYRAZOL	SULFAPHENAZOLE
MYCELEX TROCHES	CLOTRIMAZOLE
DITRAZINE BASE	DIETHYLCARBAMAZINE
NARAMIG	NARATRIPTAN
DUXEN	DIAZEPAM
FINOFIBRATE	FENOFIBRATE
ALVESCO	CICLESONIDE
BETIM	TIMOLOL
AFTATE FOR ATHLETE'S FOOT AEROSOL SPRAY LIQUID	TOLNAFTATE
FURACINETTEN	NITROFURAZONE
QUADRIN	RANITIDINE
ISOFLURANE	ISOFLURANE
METROPROLOL	METOPROLOL
PEGASPARGASE	PEGASPARGASE
CHLOROPHENYLPYRIDAMIN	CHLORPHENIRAMINE
SOLARAZE T	DICLOFENAC
TABALGIN	ACETAMINOPHEN
TOLNAFTATO [DCIT]	TOLNAFTATE
ENSEAL	POTASSIUM CHLORIDE
TETRANITRIN	ERYTHRITYL TETRANITRATE
DECORTANCYL	PREDNISONE
PIPERSOL	PIPERAZINE
CEFIXIMA [SPANISH]	CEFIXIME
DIMENHYDRINATE	DIMENHYDRINATE
STAMONEVROL	SULPIRIDE
COLREX EXPECTORANT	GUAIFENESIN
CALMYLIN EXPECTORANT	GUAIFENESIN
COMPOZ	DIPHENHYDRAMINE
TRILONE	TRIAMCINOLONE
CEFALIN	CEPHALEXIN
DENATURED ALCOHOL CD-10	ETHANOL
ADENINE DEOXYRIBOSE	ADENOSINE
BEXOL	LINDANE
BEXON	METRONIDAZOLE
CHORIOGONADOTROPIN ALFA	CHORIOGONADOTROPIN ALFA
NITROLINGUAL PUMP SPRAY	NITROGLYCERIN
STIEVA-A FORTE	TRETINOIN
SPECTINOMYCIN DI HCL	SPECTINOMYCIN
GASTROSEDAN	METHANTHELINE
XIGRIS	DROTRECOGIN ALFA
NICOROL	NIACIN
DOPASOL	LEVODOPA
DESVENLAFAXINE	DESVENLAFAXINE
PREDNISOLONE TEBUTATE	PREDNISOLONE
SINTOMICETINE R	CHLORAMPHENICOL
FEBRIDOL	ACETAMINOPHEN
APODOL	ANILERIDINE
CICLOPIROX-OLAMIN	CICLOPIROX
CINCHOCAINE HYDROCHLORIDE	DIBUCAINE
TEFILAN	DYPHYLLINE
FORMOTEROL FUMARATE	FORMOTEROL
XORANE	PACLITAXEL
SALICYLIC ACID	SALICYCLIC ACID
DESIMPRAMINE	DESIPRAMINE
ATENOL-MEPHA	ATENOLOL
ASPEC	ACETYLSALICYLIC ACID
SHOCK-FEROL STEROGYL	ERGOCALCIFEROL
GENASAL NASAL SPRAY UP TO 12 HOUR RELIEF	OXYMETAZOLINE
CANAKINUMAB	CANAKINUMAB
AMCILL	AMPICILLIN
PHTHALAMUDINE	CHLORTHALIDONE
POLYMYXIN B SULFATE SALT	POLYMYXIN B SULFATE
FLUDURA	FLUDARABINE
VOLTAREN SR	DICLOFENAC
TACE-FN	CHLOROTRIANISENE
LEDOPUR	ALLOPURINOL
DICORTOL	PREDNISOLONE
PROSYKLIDIN	PROCYCLIDINE
IOPIDINE EYE	APRACLONIDINE
DEFEROXAMINUM	DEFEROXAMINE
CIMEX	AMPICILLIN
ADSORBOCARPINE	PILOCARPINE
TRIMETOPRIM	TRIMETHOPRIM
MEXIBOL	METRONIDAZOLE
APO-INDOMETHACIN	INDOMETHACIN
SUPAC	ACETYLSALICYLIC ACID
FENARTIL	PHENYLBUTAZONE
BETA-NEG	PROPRANOLOL
MYCOLOG-II	NYSTATIN
D-N,ALPHA-DIMETHYLPHENETHYLAMINE	METHAMPHETAMINE
ZOLPIDEM	ZOLPIDEM
PROBATE	MEPROBAMATE
BIOGRISIN-FP	GRISEOFULVIN
TAKANARUMIN	ALLOPURINOL
SAGITTOL	PROPRANOLOL
SALURIC	CHLOROTHIAZIDE
RETIN-A	ALITRETINOIN
PHENOZONE	ANTIPYRINE
SULCRATE	SUCRALFATE
SALURIN	TRICHLORMETHIAZIDE
CYTOSINE ARABINOFURANOSIDE	CYTARABINE
THEOPHYLLINE ANHYDROUS	THEOPHYLLINE
SEPTOCAINE	EPINEPHRINE
DIALAR	DIAZEPAM
DIALAG	DIAZEPAM
ENDURON	METHYCLOTHIAZIDE
TRAUMACUT	METHOCARBAMOL
NOLTAM	TAMOXIFEN
NOLIPAX	FENOFIBRATE
VIDARBINE	PENTOSTATIN
DL-METHADONE HYDROCHLORIDE	METHADONE
UNAFEN	IBUPROFEN
DABROSON	ALLOPURINOL
KESSO-MYCIN	ERYTHROMYCIN
DESMENAT	SULPIRIDE
LOPAC-I-0157	IBUDILAST
PRODIERAZINE	ETHOPROPAZINE
KALEOROD	POTASSIUM CHLORIDE
DEPOCYT	CYTARABINE
GRIFOCLOBAM	CLOBAZAM
DENATURED ALCOHOL SD-3A	ETHANOL
DELGESIC	ACETYLSALICYLIC ACID
HUMIRA	ADALIMUMAB
BETAZOLE	BETAZOLE
LAPATINIB TOSILATE HYDRATE	LAPATINIB
BONIFEN	IBUPROFEN
VALADOL	ACETAMINOPHEN
GESTEROL	PROGESTERONE
EUTONYL-TEN	PARGYLINE
METHAPYRILENE	METHAPYRILENE
VINDESINE	VINDESINE
SIMATIN	ETHOSUXIMIDE
EASPRIN	ACETYLSALICYLIC ACID
DENATURED ALCOHOL SD-30	ETHANOL
TROMEDONE	TRIMETHADIONE
L-A-AMINOINDOLE-3-PROPIONIC ACID	L-TRYPTOPHAN
CHIP CALCIUM CHLORIDE	CALCIUM CHLORIDE
DIENPAX	DIAZEPAM
CIMZIA	CERTOLIZUMAB PEGOL
RUBOMYCIN C	DAUNORUBICIN
ANDROLIN	TESTOSTERONE
UROXATRAL	ALFUZOSIN
PEPDINE	FAMOTIDINE
PYDOX	PYRIDOXINE
DECAP	DIMETHYL SULFOXIDE
MAMMALIAN LH-RH	GONADORELIN
KLOR-CON M20	POTASSIUM CHLORIDE
VENA	DIPHENHYDRAMINE
ESTERONE	ESTRONE
VITAMIN A1	VITAMIN A
CYTOMEL	LIOTHYRONINE
ASABAINE	METHANTHELINE
JADELLE	LEVONORGESTREL
REUMUZOL	PHENYLBUTAZONE
HYDROCORTISONE SODIUM PHOSPHATE	HYDROCORTISONE
ANDRAN	IBUPROFEN
KALIUM-DURETTES	POTASSIUM CHLORIDE
SODIUM SURAMIN	SURAMIN
LEVATOL	PENBUTOLOL
SILODYX	SILODOSIN
LUBRICORT	HYDROCORTISONE
DIBEIN	PHENFORMIN
FLEGMOSTAM	OXYPHENBUTAZONE
PLENAXIS	ABARELIX
THEOSTAT	THEOPHYLLINE
KAOLIN	KAOLIN
LORATADINE	LORATADINE
EDECRINA	ETHACRYNIC ACID
CRYSTAL VIOLET EXTRA PURE APNX	GENTIAN VIOLET
CONSTILAC	LACTULOSE
NORGESTON	LEVONORGESTREL
ADALAT OROS	NIFEDIPINE
JODCHLOROXYCHINOLINUM	CLIOQUINOL
SPOLOVEN	DEXAMETHASONE
DOPAMINE	DOPAMINE
SANAMID	SULFANILAMIDE
RIFAXIMIN	RIFAXIMIN
AFLEXA	N-ACETYL-D-GLUCOSAMINE
DEXAPROL	DEXAMETHASONE
NALOXONE	NALOXONE
INVERSINE	MECAMYLAMINE
TRIPTISOL	AMITRIPTYLINE
DESACORT-BETA	BETAMETHASONE
DPA	VALPROIC ACID
MORPHINE H.P	MORPHINE
SYNATE	SECOBARBITAL
CEFIXIMUM [LATIN]	CEFIXIME
TUDORZA PRESSAIR	ACLIDINIUM
PROPYLTHIOURACIL	PROPYLTHIOURACIL
MONISTAT 7	MICONAZOLE
VONUM	INDOMETHACIN
PIOGLITAZONE HYDROCHLORIDE	PIOGLITAZONE
ZOLPIDEMUM [LATIN]	ZOLPIDEM
MINOCIN	MINOCYCLINE
KLORT	MEPROBAMATE
IOBENGUANE	IOBENGUANE
MINAPRINE	MINAPRINE
PANTOPROZOLE	PANTOPRAZOLE
PHENIDYLATE	METHYLPHENIDATE
DIMIPRESSIN	IMIPRAMINE
KALCORID	POTASSIUM CHLORIDE
MIOCARPINE	PILOCARPINE
ANCOLON	MECLIZINE
PNT	PENTAMIDINE
PRECEF	CEFORANIDE
CARZONAL	FLUOROURACIL
DAFEN	DIPHENYLPYRALINE
PIOGLITAZONE	PIOGLITAZONE
LIPDIP	LOVASTATIN
RESECTISOL	MANNITOL
ADENOSINE	ADENOSINE
TATHION	GLUTATHIONE
CARDINOL	PROPRANOLOL
ETHANOL ANHYDROUS	ETHANOL
CEFPIRAMIDE [USAN:INN]	CEFPIRAMIDE
ACHROCIDIN	PHENACETIN
SAROTEN	AMITRIPTYLINE
PHYLLOCONTIN-350	AMINOPHYLLINE
ALPHA-LIPOIC ACID	LIPOIC ACID
LITHOTAB	LITHIUM
NORETHISTERONE	NORETHINDRONE
PAPAVERINE	PAPAVERINE
MRA	TOCILIZUMAB
MRC	MUPIROCIN
AZUGLUCON	GLYBURIDE
TIAPROFENIC-200 - TAB	TIAPROFENIC ACID
FLEXIN CONTINUS	INDOMETHACIN
ISOMEPROBAMATE	CARISOPRODOL
APEXOL	VITAMIN A
ALDERON	SPIRONOLACTONE
CALCIGARD	NIFEDIPINE
5-CHLOR-7-JOD-8-HYDROXY-CHINOLIN [GERMAN]	CLIOQUINOL
NORPREGNENINLONE	NORETHINDRONE
CAPTIN	ACETAMINOPHEN
FAMET	SULFAMETHIZOLE
CYCLOTHIAZIDE	CYCLOTHIAZIDE
VIBAL	CYANOCOBALAMIN
CARBACHOL USP27	CARBACHOL
DICYCLOMINE	DICYCLOMINE
LIVALO	PITAVASTATIN
LAZETA	CINNARIZINE
7E3	ABCIXIMAB
AMIAS	CANDESARTAN
LOFEXIDINE	LOFEXIDINE
IBUGESIC	IBUPROFEN
BALMINIL DM	DEXTROMETHORPHAN
LOXITANE IM	LOXAPINE
ANTIPYRINUM	ANTIPYRINE
VASODILATAN	TOLAZOLINE
ETANERCEPT	ETANERCEPT
DILACOR	DILTIAZEM
VALEO	DIAZEPAM
SOMALIUM	BROMAZEPAM
MASTERFEN	SUPROFEN
OMEZOLAN	OMEPRAZOLE
OLMESARTAN	OLMESARTAN
HYCORTOLE	HYDROCORTISONE
RC-160	VAPREOTIDE
VASODRINE	EPINEPHRINE
DEXRAZOXANE	DEXRAZOXANE
HEXACHLOROPHENE, PHARMA	HEXACHLOROPHENE
HERPES-GEL	IDOXURIDINE
DOLGIT	IBUPROFEN
GASTRIDINA	RANITIDINE
AMSTAT	TRANEXAMIC ACID
TRIMETHYLTUBOCURARINE IODIDE	METOCURINE IODIDE
EPROSARTAN	EPROSARTAN
URABETH	BETHANECHOL
REQUIP XL	ROPINIROLE
RESPENYL	GUAIFENESIN
GLIMID	GLUTETHIMIDE
TARGOCID	TEICOPLANIN
FENAZIL	PROMETHAZINE
SODIZOLE	SULFISOXAZOLE
SEDANYL	MEPROBAMATE
DL-BENZEDRINE	AMPHETAMINE
TRIDION	TRIMETHADIONE
TESSALON PERLES	BENZONATATE
ETIDRONIC ACID	ETIDRONIC ACID
DRIXORAL PLUS	ACETAMINOPHEN
ISONICOTINIC ACID, {2-[2-(BENZYLCARBAMOYL)ETHYL]HYDRAZIDE}	NIALAMIDE
ZERIT	STAVUDINE
ATARAXINE	MEPROBAMATE
FUCIDIC ACID	FUSIDIC ACID
IMATINIB METHANSULFONATE	IMATINIB
DIMEDROL	DIPHENHYDRAMINE
HALAVEN	ERIBULIN
BEZATOL	BEZAFIBRATE
RAMACE	RAMIPRIL
HYDROMEDIN	ETHACRYNIC ACID
BACTERAMID	SULFANILAMIDE
DETOXARGIN	L-ARGININE
BENZAMYCIN	ERYTHROMYCIN
ABAPRIM	TRIMETHOPRIM
MIACALCIN (NOVARTIS)	SALMON CALCITONIN
STREPTROCIDE	SULFANILAMIDE
BRIMONIDINE TARTRATE	BRIMONIDINE
DESFERRAL	DEFEROXAMINE
ASCORBAJEN	VITAMIN C
HERPID	IDOXURIDINE
ALPHA-HEPARIN	HEPARIN
NEXEN FB	LINDANE
LASMA	THEOPHYLLINE
NAKVA	TRICHLORMETHIAZIDE
NIDATON	ISONIAZID
DEITEN	NITRENDIPINE
NORAMITRIPTYLINE	NORTRIPTYLINE
HEKTALIN	EPINEPHRINE
RENAGLANDIN	EPINEPHRINE
SOPAMYCETIN OPHTHALMIC OINTMENT	CHLORAMPHENICOL
ETOTOINA [INN-SPANISH]	ETHOTOIN
N-ISOPROPYLNOREPINEPHRINE	ISOPROTERENOL
BENZYLIMIDAZOLINE	TOLAZOLINE
RETISOL-A	TRETINOIN
DIHYDROTESTOSTERONE	DIHYDROTESTOSTERONE
RECANESCIN	DESERPIDINE
VITASCORBOL	VITAMIN C
TRIPTAN	SUMATRIPTAN
MYPAID	IBUPROFEN
BANZEL	RUFINAMIDE
ZWITSALAX	DANTRON
HIDACO CRYSTAL VIOLET	GENTIAN VIOLET
PROBECID	PROBENECID
VALTREX	VALACICLOVIR
CARTIA XT	DILTIAZEM
TALOTREN	THEOPHYLLINE
SURABEN	GLYBURIDE
CODELCORTONE	PREDNISOLONE
BONTOXILYSIN A	BOTULINUM TOXIN TYPE A
CALCIUM GLUCEPTATE	CALCIUM GLUCEPTATE
ULCOSOL	NIZATIDINE
17-METHYLTESTOSTERONE	METHYLTESTOSTERONE
FENYLACETYLMOCOVINA	PHENACEMIDE
GASTRODOMINA	FAMOTIDINE
H, 5	IOFLUPANE I 123
LUTAMIN	GONADORELIN
FUSIDATE SODIUM	FUSIDIC ACID
MESO-ERYTHRITOL TETRANITRATE	ERYTHRITYL TETRANITRATE
TETRADECYL SULFATE	SODIUM TETRADECYL SULFATE
CHILCOLAN	DIPYRIDAMOLE
OXYPHENISATINE	OXYPHENISATIN
BOLUTOL	GEMFIBROZIL
SPAMETRIN-M	METHYLERGONOVINE
DM1	DAUNORUBICIN
DM2	DOXORUBICIN
TESTAQUA	TESTOSTERONE
BUTOCONAZOLE	BUTOCONAZOLE
CARBAMOYLCHOLINE CHLORIDE	CARBACHOL
TOLEDOMIN	MILNACIPRAN
STREPTASOL	SULFANILAMIDE
(+)-N,ALPHA-DIMETHYL-BETA-PHENYLETHYLAMINE	METHAMPHETAMINE
SOLU-A	VITAMIN A
M-METHYLAMINOETHANOLPHENOL	PHENYLEPHRINE
DORSACAINE HYDROCHLORIDE	OXYBUPROCAINE
RETROCORTINE	PREDNISONE
KLISMACORT	PREDNISOLONE
SKLEROLIP	CLOFIBRATE
L-(+)-ASPARTIC ACID	L-ASPARTIC ACID
CHINOFUNGIN	TOLNAFTATE
ESTROGENS	CONJUGATED ESTROGENS
AMRINONE	AMRINONE
TELBIVUDINE	TELBIVUDINE
OXALID	OXYPHENBUTAZONE
LOBETRIN	CLOFIBRATE
ALTAN	DANTRON
FRONTAL	ALPRAZOLAM
MINORAL	ACETOHEXAMIDE
BRACCOPIRAL	PYRAZINAMIDE
BIOBAMAT	MEPROBAMATE
O-(4-HYDROXY-3,5-DIIDOPHENYL)-3,5-DIIODO-L-TYROSINE	LEVOTHYROXINE
AKTAMIN	EPINEPHRINE
PROSCAR	FINASTERIDE
RANITIDIN-RATIOPHARM	RANITIDINE
PYRINISTOL	METHAPYRILENE
DIZOXIDE	DIAZOXIDE
SKLEROMEX	CLOFIBRATE
NARCOTAN	HALOTHANE
HYDROTHIDE	HYDROCHLOROTHIAZIDE
NEO-TESTIS	TESTOSTERONE
CLINDAMYCIN	CLINDAMYCIN
BANTHINE	METHANTHELINE
WATER, 5%	ETHANOL
ETHANOL, SILENT SPIRIT	ETHANOL
ESKACILLIAN V	PENICILLIN V
CLORTETRIN	DEMECLOCYCLINE
MYDRIATICUM	TROPICAMIDE
ERYTHROGRAN	ERYTHROMYCIN
'ESTEVE'	PHENYLBUTAZONE
CONT	METRONIDAZOLE
BUPRANOLOLUM	BUPRANOLOL
DIHYDROERGOTOXIN MESILAT	ERGOLOID MESYLATE
FLEROXICIN	FLEROXACIN
DIURORAL	TRICHLORMETHIAZIDE
UNASERUS	NALIDIXIC ACID
KETOTIFENUM [INN-LATIN]	KETOTIFEN
TRAMETINIB	TRAMETINIB
NU-LOPERAMIDE	LOPERAMIDE
STILBESTROL	DIETHYLSTILBESTROL
OPC-41061	TOLVAPTAN
MODIFIED SIALIC ACID	ZANAMIVIR
SIQUALON	FLUPHENAZINE
CHLORTHIAZIDE	CHLOROTHIAZIDE
LEVOCABASTINE	LEVOCABASTINE
SANOREX	MAZINDOL
BROMFENEX	BROMPHENIRAMINE
BUCLIZINE HYDROCHLORIDE	BUCLIZINE
MOLINDONA [INN-SPANISH]	MOLINDONE
TRANS-DIETHYLSTILBESTEROL	DIETHYLSTILBESTROL
RIBASPHERE	RIBAVIRIN
KYSELINA NIKOTINOVA	NIACIN
NORMAPAUSE	NORETHINDRONE
SPIROMAK FORTE	BISMUTH SUBSALICYLATE
GLIBENCLAMID FABRA	GLYBURIDE
DEFEROXAMINE MESYLATE	DEFEROXAMINE
DIPHENYLBUTAZONE	PHENYLBUTAZONE
HYRE	RIBOFLAVIN
LUBROKAL	PHENOBARBITAL
A-SOL	VITAMIN A
CARDIO 10	ISOSORBIDE DINITRATE
MEPYRAPONE	METYRAPONE
BESIFLOXACIN	BESIFLOXACIN
TRANS-RETINOL	VITAMIN A
OMNITOX	LINDANE
HETACILLIN	HETACILLIN
PLATINUM AMMINE CHLORIDE	CISPLATIN
BENZYL P-HYDROXYPHENYL ETHER	MONOBENZONE
CD 2	CHLORDIAZEPOXIDE
ULCATIF	FAMOTIDINE
AVAGAL	METHANTHELINE
TENECTEPLASE	TENECTEPLASE
LORANTIS	LORATADINE
PREQUIL	MEPROBAMATE
FORENE	ISOFLURANE
ECOSTATIN	ECONAZOLE
SULFURINE	SULFAMETHIZOLE
ZEASORB-AF POWDER	TOLNAFTATE
HYPORENIN	EPINEPHRINE
KINERET (AMGEN INC)	ANAKINRA
PAMINE	METHYLSCOPOLAMINE
PRINK	ALPROSTADIL
FOLINIC ACID CALCIUM SALT USP27	LEUCOVORIN
MESUXIMIDUM [INN-LATIN]	METHSUXIMIDE
ISOCAINE HCL	MEPIVACAINE
LEDOPA	LEVODOPA
BREVINOR 28	NORETHINDRONE
BREVINOR 21	NORETHINDRONE
DERMATOP E EMOLLIENT	PREDNICARBATE
PHYTODERM	TOLNAFTATE
LUPRON	LEUPROLIDE
SYNMIOL	IDOXURIDINE
LORABID	LORACARBEF
RANIBIZUMAB	RANIBIZUMAB
CELUPAN	NALTREXONE
ELIGARD	LEUPROLIDE
ANTEYL	DISULFIRAM
TANACLONE	DYCLONINE
ONDASIL	GLUTETHIMIDE
BREVIBLOC	ESMOLOL
ERBACORT	PREDNISOLONE
INHALAN	METHOXYFLURANE
ORTAZOL	FURAZOLIDONE
VINZAM	AZITHROMYCIN
PELENTAN	ETHYL BISCOUMACETATE
DOXORUBICIN	DOXORUBICIN
MAMIESAN	DICYCLOMINE
ENOXAPARIN	ENOXAPARIN
PHENOLAX	PHENOLPHTHALEIN
ZIPTEK	CETIRIZINE
SODIUM SULFATHIAZOLE	SULFATHIAZOLE
LISURIDE	LISURIDE
ULCEX	RANITIDINE
HIDALONE	HYDROCORTISONE
(R)-2-AMINO-3-MERCAPTOPROPANOIC ACID	L-CYSTEINE
NEGGRAM	NALIDIXIC ACID
KOLKLOT	MENADIONE
PHENOMET	PHENOBARBITAL
FELODAY	FELODIPINE
CI-1008	PREGABALIN
TIROFIBAN [BAN:INN]	TIROFIBAN
QUETIAPINE HEMIFUMARATE	QUETIAPINE
FARMOTEX	FAMOTIDINE
ANSELOL	ATENOLOL
BONVIVA	IBANDRONATE
PALESTROL	DIETHYLSTILBESTROL
IROQUINE	CHLOROQUINE
MIFEPRISTON	MIFEPRISTONE
DORSACAIN	OXYBUPROCAINE
MULTAUN	MEPROBAMATE
ATENIL	ATENOLOL
FLURAZEPAM	FLURAZEPAM
SULFAMIDYL	SULFANILAMIDE
SYMMETREL	AMANTADINE
AMANTADINE	AMANTADINE
INLYTA	AXITINIB
HY-PAM 25	HYDROXYZINE
16-ALPHA-HYDROXYESTRADIOL	ESTRIOL
FINASTERIDA [INN-SPANISH]	FINASTERIDE
VEE M-26	TENIPOSIDE
PBZ-SR	TRIPELENNAMINE
PHENYTOIN SODIUM	PHENYTOIN
DUOPLANT	SALICYCLIC ACID
STREPTOKINASE	STREPTOKINASE
ETHYLESTRENOL	ETHYLESTRENOL
VISCURE	HYALURONAN
FEBRINOL	ACETAMINOPHEN
LENANGIO	LENALIDOMIDE
ACETOSULFAMINE	SULFACETAMIDE
MINI-PILL	NORETHINDRONE
